,official_name,level,speakers,country,official,regional,minority,national,widely_spoken,country_count,max_urbanization,max_internet_use
2790,Urarina,Threatened,2000,Peru,0,0,0,0,0,1,78.922,79.5
2791,Urat,Threatened,6280,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
2792,Urim,Threatened,2538,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
2793,Urimo,Endangered,835,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
2794,Urmia Northeastern Neo-Aramaic,Vulnerable,20560,"Iran, Islamic Rep.",0,0,0,0,0,1,77.257,79.6
2795,Urningangga,Severely Endangered,10,Australia,0,0,0,0,0,1,86.617,97.1
2796,Uru,Extinct,0,Bolivia,3,0,0,0,0,1,71.186,70.2
2797,Uruangnirin,Endangered,400,Indonesia,0,0,0,0,0,1,58.572,69.2
2798,Uruava,Extinct,0,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
2799,Urubú-Kaapor Sign Language,Critically Endangered,7,Brazil,0,0,0,0,0,1,87.788,84.2
2800,Uruewawau,Endangered,183,Brazil,0,0,0,0,0,1,87.788,84.2
2801,Uruguayan Sign Language,Threatened,7000,Uruguay,1,0,0,0,0,1,95.771,89.9
2802,Ushojo,Threatened,1000,Pakistan,0,0,0,0,0,1,38.04,27.4
2803,Uspanteko,Threatened,1231,Guatemala,0,0,0,0,0,1,53.098,56.1
2804,Ute,Endangered,3500,United States,0,0,0,0,0,1,83.298,93.1
2805,Uya,Endangered,270,Papua New Guinea,1,0,0,0,1,1,13.723,24.1
2806,Uzbeki Spoken Arabic,Endangered,700,Uzbekistan,0,0,0,0,0,1,50.532,89.0
2807,Vaeakau-Taumako,Vulnerable,1662,Solomon Islands,0,0,0,0,0,1,26.037,42.5
2808,Vafsi,Vulnerable,20000,"Iran, Islamic Rep.",0,0,0,0,0,1,77.257,79.6
2810,Valpei,Endangered,300,Vanuatu,0,0,0,0,0,1,25.976,45.7
2812,Vanimo,Vulnerable,1660,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
2813,Vano,Critically Endangered,5,Solomon Islands,0,0,0,0,0,1,26.037,42.5
2814,Varavara,Endangered,100,Vanuatu,0,0,0,0,0,1,25.976,45.7
2815,Vatlongos,Threatened,3700,Vanuatu,0,0,0,0,0,1,25.976,45.7
2816,Veddah,Extinct,0,Sri Lanka,0,0,0,0,0,1,19.211,51.2
2817,Vehes,Severely Endangered,70,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
2818,Veps,Severely Endangered,3613,Russian Federation,0,0,0,0,0,1,75.331,92.2
2819,Vera'a,Endangered,275,Vanuatu,0,0,0,0,0,1,25.976,45.7
2820,Vidunda,Threatened,10000,Tanzania,0,0,0,0,0,1,37.409,29.1
2821,Vilela,Extinct,0,Argentina,0,0,0,0,0,1,92.463,89.2
2822,Vinmavis,Endangered,500,Vanuatu,0,0,0,0,0,1,25.976,45.7
2823,Vinza,Vulnerable,10000,Tanzania,0,0,0,0,0,1,37.409,29.1
2825,Vivaro-Alpine,Endangered,200000,France;Italy,0,0,0,0,0,2,81.777,87.0
2826,Vivti,Critically Endangered,5,Vanuatu,0,0,0,0,0,1,25.976,45.7
2827,Vlax Romani,At risk,885970,Turkey;Germany;Russian Federation;Ukraine;Bulgaria;Romania;Lithuania;France;Italy;Greece;Spain;Portugal;Macedonia;Moldova;Poland;Czech Republic;Sweden;Netherlands;Norway;Switzerland;Finland;Austria;Croatia;Latvia;Slovakia;Hungary;Albania;Belarus;Bosnia and Herzegovina;Slovenia;Serbia;Montenegro,0,0,0,0,0,32,93.179,99.0
2828,Volow,Critically Endangered,1,Vanuatu,0,0,0,0,0,1,25.976,45.7
2829,Võro,Threatened,50000,Estonia,0,0,0,0,0,1,69.81,93.2
2830,Votic,Critically Endangered,10,Russian Federation,0,0,0,0,0,1,75.331,92.2
2831,Vovo,Endangered,475,Vanuatu,0,0,0,0,0,1,25.976,45.7
2832,Vumbu,Endangered,500,Gabon,0,0,0,0,0,1,91.029,71.9
2833,Vunapu,Endangered,380,Vanuatu,0,0,0,0,0,1,25.976,45.7
2834,Vurës,Threatened,1050,Vanuatu,0,0,0,0,0,1,25.976,45.7
2835,Waanyi,Critically Endangered,1,Australia,0,0,0,0,0,1,86.617,97.1
2836,Wab,Endangered,120,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
2837,Wadi-Wadi,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
2838,Wadjigu,Critically Endangered,1,Australia,0,0,0,0,0,1,86.617,97.1
2839,Wae Rana,Threatened,3000,Indonesia,0,0,0,0,0,1,58.572,69.2
2840,Wagiman,Severely Endangered,50,Australia,0,0,0,0,0,1,86.617,97.1
2841,Wahau Kenya,Threatened,8000,Indonesia,0,0,0,0,0,1,58.572,69.2
2842,Waigali,Threatened,1500,Afghanistan,0,0,0,0,0,1,26.933,17.7
2843,Wailapa,Endangered,100,Vanuatu,0,0,0,0,0,1,25.976,45.7
2844,Waima'a,Threatened,3000,Timor-Leste,0,0,0,0,0,1,32.456,34.0
2845,Waimirí-Atroarí,Threatened,1120,Brazil,0,0,0,0,0,1,87.788,84.2
2846,Waiwai,Threatened,3154,Brazil;Guyana,0,0,0,0,0,2,87.788,84.2
2847,Wajarri,Severely Endangered,50,Australia,0,0,0,0,0,1,86.617,97.1
2848,Wajuk,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
2849,Waka-Waka,Critically Endangered,3,Australia,0,0,0,0,0,1,86.617,97.1
2850,Wakaya,Severely Endangered,10,Australia,0,0,0,0,0,1,86.617,97.1
2851,Wakhi,Vulnerable,37570,Tajikistan;Afghanistan;Pakistan;China,0,0,0,0,0,4,64.57,77.5
2853,Walio,Endangered,200,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
2854,Walloon,Threatened,600000,Belgium;France;Luxembourg,0,0,0,0,0,3,98.189,99.3
2855,Walmajarri,Endangered,860,Australia,0,0,0,0,0,1,86.617,97.1
2856,Walman,Severely Endangered,1740,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
2857,Walungge,Threatened,1000,India;Nepal,0,0,0,0,0,2,36.364,55.8
2858,Wamas,Endangered,220,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
2859,Wambaya,Critically Endangered,3,Australia,0,0,0,0,0,1,86.617,97.1
2860,Wambule,Vulnerable,15000,Nepal,0,0,0,0,0,1,21.903,55.8
2861,Wamey,Vulnerable,25000,Senegal;Guinea,0,0,0,0,0,2,49.579,60.6
2862,Wanano,Threatened,2000,Brazil;Colombia,0,0,0,0,0,2,87.788,84.2
2864,Wanda,Vulnerable,42810,Tanzania,1,0,0,0,0,1,37.409,29.1
2865,Wanggamala,Critically Endangered,1,Australia,0,0,0,0,0,1,86.617,97.1
2866,Wangganguru,Critically Endangered,2,Australia,0,0,0,0,0,1,86.617,97.1
2867,Wangkajunga,Severely Endangered,20,Australia,0,0,0,0,0,1,86.617,97.1
2868,Wano,Threatened,7000,Indonesia,0,0,0,0,0,1,58.572,69.2
2869,Wantoat,Threatened,8200,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
2870,Wanukaka,Endangered,14000,Indonesia,0,0,0,0,0,1,58.572,69.2
2871,Waorani,Threatened,1616,Ecuador,0,0,0,0,0,1,64.792,72.7
2872,Wapan,At risk,100000,Nigeria,0,0,0,0,0,1,54.283,39.2
2873,Wãpha,Threatened,1610,Nigeria,0,0,0,0,0,1,54.283,39.2
2874,Wapixana,Vulnerable,10900,Brazil;Guyana,0,0,0,0,0,2,87.788,84.2
2875,Wara,Threatened,4500,Burkina Faso,1,1,0,0,0,1,32.52,17.0
2876,Warao,Vulnerable,32400,"Venezuela, RB;Guyana;Suriname",0,0,0,0,0,3,88.438,81.7
2877,Warapu,Endangered,3,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
2878,Wardaman,Severely Endangered,30,Australia,0,0,0,0,0,1,86.617,97.1
2879,Warembori,Endangered,700,Indonesia,0,0,0,0,0,1,58.572,69.2
2880,Wares,Endangered,200,Indonesia,0,0,0,0,0,1,58.572,69.2
2881,Wari',Threatened,2381,Brazil,0,0,0,0,0,1,87.788,84.2
2882,Waris,Threatened,4400,Indonesia;Papua New Guinea,0,0,0,0,0,2,58.572,69.2
2883,Waritai,Endangered,150,Indonesia,0,0,0,0,0,1,58.572,69.2
2884,Warji,Vulnerable,77700,Nigeria,0,0,0,0,0,1,54.283,39.2
2885,Warlmanpa,Severely Endangered,36,Australia,0,0,0,0,0,1,86.617,97.1
2886,Warlpiri,Threatened,3000,Australia,0,0,0,0,0,1,86.617,97.1
2887,Warluwarra,Critically Endangered,3,Australia,0,0,0,0,0,1,86.617,97.1
2889,Warndarrang,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
2890,Warnman,Severely Endangered,30,Australia,0,0,0,0,0,1,86.617,97.1
2891,Warray,Critically Endangered,4,Australia,0,0,0,0,0,1,86.617,97.1
2892,Warrgamay,Critically Endangered,3,Australia,0,0,0,0,0,1,86.617,97.1
2893,Warriyangga,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
2894,Warrnambool,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
2895,Warrwa,Critically Endangered,2,Australia,0,0,0,0,0,1,86.617,97.1
2896,Waru,Endangered,350,Indonesia,0,0,0,0,0,1,58.572,69.2
2897,Warumungu,Severely Endangered,50,Australia,0,0,0,0,0,1,86.617,97.1
2898,Watakataui,Endangered,160,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
2899,Watam,Threatened,1086,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
2900,Waunana,Threatened,13000,Colombia;Panama,0,0,0,0,0,2,82.354,78.0
2901,Waurá,Endangered,410,Brazil,0,0,0,0,0,1,87.788,84.2
2902,Wawa,Threatened,2500,Nigeria;Cameroon,0,0,0,0,0,2,59.315,41.9
2903,Wayampí,Threatened,1655,Brazil;French Guiana,0,0,0,0,0,2,87.788,84.2
2904,Wayana,Threatened,1738,Brazil;Suriname;French Guiana,0,0,0,0,0,3,87.788,84.2
2905,Wayoró,Critically Endangered,5,Brazil,0,0,0,0,0,1,87.788,84.2
2906,Wayu,Endangered,1520,Nepal,0,0,0,0,0,1,21.903,55.8
2907,Weliki,Endangered,200,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
2908,Welsh,Vulnerable,562016,Argentina;United Kingdom,0,1,0,0,0,2,92.463,96.3
2909,Wergaia,Critically Endangered,5,Australia,0,0,0,0,0,1,86.617,97.1
2910,Wersing,Vulnerable,4000,Indonesia,0,0,0,0,0,1,58.572,69.2
2911,West Frisian,At risk,300000,Netherlands,0,0,0,0,0,1,93.179,97.0
2912,West Tarangan,Vulnerable,9000,Indonesia,0,0,0,0,0,1,58.572,69.2
2914,Western Abenaki,Critically Endangered,10,United States;Canada,0,0,0,0,0,2,83.298,94.0
2915,Western Alta Mixtec,Vulnerable,61530,Mexico,0,0,0,0,0,1,81.582,81.2
2916,Western Apache,Threatened,14000,United States,0,0,0,0,0,1,83.298,93.1
2917,Western Arrarnte,Threatened,1500,Australia,0,0,0,0,0,1,86.617,97.1
2918,Western Bru,Vulnerable,20000,Thailand,0,0,0,0,0,1,53.608,89.5
2919,Western Bukidnon Manobo,Vulnerable,19000,Philippines,0,0,0,0,0,1,48.287,83.8
2920,Western Buryat,Endangered,50000,Russian Federation,0,0,0,0,0,1,75.331,92.2
2921,Western Chinantec,Threatened,3590,Mexico,0,0,0,0,0,1,81.582,81.2
2922,Western Gurung,Threatened,325000,India;Nepal,0,0,0,0,0,2,36.364,55.8
2923,Western Highland Chatino,Vulnerable,12000,Mexico,0,0,0,0,0,1,81.582,81.2
2924,Western Huasteca Nahuatl,At risk,400000,Mexico,0,0,0,0,0,1,81.582,81.2
2925,Western Mansi,Extinct,0,Russian Federation,0,0,0,0,0,1,75.331,92.2
2926,Western Mari,Vulnerable,50000,Russian Federation,0,0,0,0,0,1,75.331,92.2
2927,Western Mewahang,Threatened,4650,Nepal,0,0,0,0,0,1,21.903,55.8
2928,Western Pantar,Vulnerable,10804,Indonesia,0,0,0,0,0,1,58.572,69.2
2929,Western Yiddish,Threatened,5400,Germany;Israel;Belgium;France;Netherlands;Switzerland;Hungary,0,0,0,0,0,7,98.189,97.3
2930,Weyewa,At risk,240000,Indonesia,0,0,0,0,0,1,58.572,69.2
2931,White Gelao,Severely Endangered,6000,China;Viet Nam,0,0,0,0,0,2,64.57,78.1
2932,White Lachi,Extinct,0,Viet Nam,0,0,0,0,0,1,39.48,78.1
2933,Wiaki,Critically Endangered,100,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
2934,Wiarumus,Severely Endangered,460,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
2935,Wichí,Vulnerable,30560,Argentina;Bolivia,0,0,0,0,0,2,92.463,89.2
2936,Wichita,Extinct,0,United States,0,0,0,0,0,1,83.298,93.1
2937,Wik-Epa,Critically Endangered,3,Australia,0,0,0,0,0,1,86.617,97.1
2938,Wik-Iiyanh,Severely Endangered,40,Australia,0,0,0,0,0,1,86.617,97.1
2939,Wik-Keyangan,Critically Endangered,3,Australia,0,0,0,0,0,1,86.617,97.1
2940,Wik-Me'anha,Severely Endangered,12,Australia,0,0,0,0,0,1,86.617,97.1
2941,Wik-Mungkan,Threatened,1060,Australia,0,0,0,0,0,1,86.617,97.1
2942,Wik-Ngathana,Endangered,100,Australia,0,0,0,0,0,1,86.617,97.1
2943,Wik-Ngatharr,Severely Endangered,86,Australia,0,0,0,0,0,1,86.617,97.1
2944,Wilawila,Critically Endangered,2,Australia,0,0,0,0,0,1,86.617,97.1
2945,Winnebago,Endangered,250,United States,0,0,0,0,0,1,83.298,93.1
2946,Wintu,Extinct,0,United States,0,0,0,0,0,1,83.298,93.1
2947,Wiradjuri,Critically Endangered,3,Australia,0,0,0,0,0,1,86.617,97.1
2948,Wiru,Vulnerable,15300,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
2949,Witsuwit'en,Severely Endangered,211,Canada,0,0,0,0,0,1,81.862,94.0
2950,Wogamusin,Endangered,368,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
2951,Wogeo,Threatened,1500,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
2952,Woi,Threatened,1800,Indonesia,0,0,0,0,0,1,58.572,69.2
2954,Wom,Threatened,2500,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
2955,Woria,Critically Endangered,6,Indonesia,0,0,0,0,0,1,58.572,69.2
2956,Worla,Critically Endangered,5,Australia,0,0,0,0,0,1,86.617,97.1
2957,Worrorra,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
2958,Wotapuri-Katarqalai,Extinct,0,Afghanistan,0,0,0,0,0,1,26.933,17.7
2959,Wotu,Threatened,5000,Indonesia,0,0,0,0,0,1,58.572,69.2
2960,Wubuy,Endangered,300,Australia,0,0,0,0,0,1,86.617,97.1
2961,Wudjari,Critically Endangered,1,Australia,0,0,0,0,0,1,86.617,97.1
2962,Wulna,Critically Endangered,1,Australia,0,0,0,0,0,1,86.617,97.1
2963,Wunambal,Severely Endangered,20,Australia,0,0,0,0,0,1,86.617,97.1
2964,Wusi,Endangered,350,Vanuatu,0,0,0,0,0,1,25.976,45.7
2965,Wutung,Endangered,610,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
2966,Wutunhua,Endangered,4000,China,0,0,0,0,0,1,64.57,77.5
2967,Xaad Kil (Haida),Critically Endangered,100,United States;Canada,0,0,0,0,0,2,83.298,94.0
2968,Xakriabá,Extinct,0,Brazil,0,0,0,0,0,1,87.788,84.2
2969,Xavante,Vulnerable,13303,Brazil,0,0,0,0,0,1,87.788,84.2
2970,Xerente,Threatened,2569,Brazil,0,0,0,0,0,1,87.788,84.2
2971,Xetá,Critically Endangered,2,Brazil,0,0,0,0,0,1,87.788,84.2
2972,Xiandao,Endangered,40,China,0,0,0,0,0,1,64.57,77.5
2973,Xibe,Vulnerable,27000,China,0,0,0,0,0,1,64.57,77.5
2974,Xipaya,Extinct,0,Brazil,0,0,0,0,0,1,87.788,84.2
2975,Xokleng,Endangered,790,Brazil,0,0,0,0,0,1,87.788,84.2
2976,X̄enaksialak̓ala / X̄a'islak̓ala (Haisla),Critically Endangered,74,Canada,0,0,0,0,0,1,81.862,94.0
2977,Yaaku,Severely Endangered,50,Kenya,0,0,0,0,0,1,29.52,35.0
2978,Yafi,Endangered,170,Indonesia,0,0,0,0,0,1,58.572,69.2
2979,Yagan,Extinct,0,Chile,0,0,0,0,0,1,88.012,94.5
2980,Yaghnobi,Vulnerable,13500,Tajikistan,0,0,0,0,0,1,28.234,56.8
