,official_name,level,speakers,country,missing_speakers,official,regional,minority,national,widely_spoken,country_count,max_urbanization,max_internet_use,years_since_obs
144,Arawum,Severely Endangered,73,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
145,Arbëreshë,Vulnerable,100000,Italy,0,0,0,0,0,0,1,71.973,87.0,1.0
146,Arbore,Threatened,4441,Ethiopia,0,0,0,0,0,0,1,23.157,16.7,3.0
147,Archi,Threatened,1237,Russian Federation,0,0,0,0,0,0,1,75.331,92.2,1.0
148,Arem,Critically Endangered,100,Viet Nam;Lao PDR,0,0,0,0,0,0,2,39.48,78.1,1.0
149,Argobba,Vulnerable,10860,Ethiopia,0,0,0,0,0,0,1,23.157,16.7,3.0
150,Arguni,Endangered,150,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
151,Arhâ,Severely Endangered,35,New Caledonia,0,0,0,0,0,0,1,72.719,82.0,7.0
152,Arhö,Severely Endangered,62,New Caledonia,0,0,0,0,0,0,1,72.719,82.0,7.0
153,Ari,Severely Endangered,50,Papua New Guinea,0,7,3,8,5,1,1,13.723,24.1,1.0
154,Ariba,Critically Endangered,2,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
155,Arifama-Miniafia,Threatened,3470,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
156,Arikapú,Critically Endangered,1,Brazil,0,0,0,0,0,0,1,87.788,84.2,1.0
157,Arikara,Critically Endangered,10,United States,0,0,0,0,0,0,1,83.298,93.1,1.0
158,Aromanian,Threatened,350000,Bulgaria;Romania;Greece;Macedonia;Albania;Bosnia and Herzegovina;Serbia,0,0,0,1,0,0,7,80.673,89.2,1.0
159,Arta,Critically Endangered,11,Philippines,0,0,0,0,0,0,1,48.287,83.8,1.0
160,Aru,Endangered,270,Papua New Guinea,0,1,1,1,1,0,1,13.723,24.1,1.0
161,Aruá,Critically Endangered,5,Brazil,0,0,0,0,0,0,1,87.788,84.2,1.0
162,Aruamu,Threatened,5350,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
163,Aruek,Endangered,614,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
164,Aruop,Endangered,700,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
165,Arutani,Critically Endangered,1,"Brazil;Venezuela, RB",0,0,0,0,0,0,2,88.438,84.2,1.0
166,Arvanitika,Vulnerable,50000,Greece,0,0,0,0,0,0,1,80.673,85.0,1.0
167,As,Critically Endangered,6,Indonesia,0,7,8,7,3,2,1,58.572,69.2,1.0
168,Asaba,Threatened,145,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
169,Ashing,Endangered,1000,India,0,0,0,0,0,0,1,36.364,55.9,2.0
170,Ashkun,Threatened,7000,Afghanistan,0,0,0,0,0,0,1,26.933,17.7,1.0
171,Ashtiani,Vulnerable,21100,"Iran, Islamic Rep.",0,0,0,0,0,0,1,77.257,79.6,1.0
172,Assangori,Vulnerable,23500,Sudan;Chad,0,0,0,0,0,0,2,36.342,26.4,4.0
173,Assiniboine,Endangered,150,United States;Canada,0,0,0,0,0,0,2,83.298,94.0,1.0
174,Asturian,At risk,110000,Spain;Portugal,0,0,0,0,0,0,2,81.552,95.4,1.0
175,Asumboa,Severely Endangered,10,Solomon Islands,0,0,0,0,0,0,1,26.037,42.5,1.0
176,Asunción Mixtepec Zapotec,Severely Endangered,100,Mexico,0,0,0,0,0,0,1,81.582,81.2,1.0
177,Asuri,Threatened,7000,India,0,0,0,0,0,0,1,36.364,55.9,2.0
178,Asuriní do Tocantins,Endangered,384,Brazil,0,0,0,0,0,0,1,87.788,84.2,1.0
179,Ata,Critically Endangered,4,Philippines,0,1,3,4,0,1,1,48.287,83.8,1.0
180,Atampaya,Critically Endangered,4,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
181,Athpariya,Threatened,3658,Nepal,0,0,0,0,0,0,1,21.903,55.8,1.0
182,Ati (Philippines),Endangered,1500,Philippines,0,0,0,0,0,0,1,48.287,83.8,1.0
183,Ati (Vanuatu),Severely Endangered,85,Vanuatu,0,0,0,0,0,0,1,25.976,45.7,1.0
184,Atin,Endangered,120,Vanuatu,0,1,0,0,0,0,1,25.976,45.7,1.0
185,Atong (Cameroon),Vulnerable,4200,Cameroon,0,0,0,0,0,0,1,59.315,41.9,1.0
186,Atsugewi,Dormant,0,United States,0,0,0,0,0,0,1,83.298,93.1,1.0
187,Attikamek,Vulnerable,3000,Canada,0,0,0,0,0,0,1,81.862,94.0,1.0
188,Au,Threatened,4200,Papua New Guinea,0,6,3,0,1,2,1,13.723,24.1,1.0
189,Aulua,Endangered,750,Vanuatu,0,0,0,0,0,0,1,25.976,45.7,1.0
190,Auré,Dormant,0,Brazil,0,0,0,0,0,0,1,87.788,84.2,1.0
191,Austral,Threatened,8000,French Polynesia,0,0,0,0,0,0,1,62.288,72.7,7.0
192,Australian Sign Language,Threatened,6500,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
193,Auvergnat,Threatened,150000,France,0,0,0,0,0,0,1,81.777,86.8,1.0
194,Auwe,Endangered,270,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
195,Auye,Endangered,350,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
196,Avá,Severely Endangered,16,Brazil,0,0,0,0,0,0,1,87.788,84.2,1.0
197,Avava,Vulnerable,700,Vanuatu,0,0,0,0,0,0,1,25.976,45.7,1.0
198,Aveteian,Severely Endangered,50,Vanuatu,0,0,0,0,0,0,1,25.976,45.7,1.0
199,Avok,Endangered,500,Vanuatu,0,0,0,0,0,0,1,25.976,45.7,1.0
200,Awa Pit,Vulnerable,17464,Colombia;Ecuador,0,0,0,0,0,0,2,82.354,77.3,1.0
201,Awabakal,Awakening,5,Australia,1,0,0,0,0,0,1,86.617,97.1,1.0
202,Awakateko,Vulnerable,16272,Guatemala,0,0,0,0,0,0,1,53.098,56.1,1.0
203,Awar,Severely Endangered,1153,Papua New Guinea,0,1,0,0,0,0,1,13.723,24.1,1.0
204,Awbono,Vulnerable,100,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
205,Aweer,Endangered,200,Kenya;Somalia,0,0,0,0,0,0,2,47.92,35.0,1.0
206,Awera,Endangered,100,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
207,Awetí,Endangered,225,Brazil,0,0,0,0,0,0,1,87.788,84.2,1.0
208,Awiakay,Threatened,300,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
209,Awjilah,Threatened,2000,Libya,0,0,0,0,0,0,1,81.606,88.5,1.0
210,Awngi,At risk,500000,Ethiopia,0,0,0,0,0,0,1,23.157,16.7,3.0
211,Awngthim,Dormant,0,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
212,Awtuw,Endangered,400,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
213,Awu Laya,Dormant,0,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
214,Awun,Endangered,384,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
215,Awyi,Endangered,400,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
216,Ayacucho Quechua,At risk,850000,Peru,0,0,0,0,0,0,1,78.922,79.5,1.0
217,Ayapanec Zoque,Critically Endangered,3,Mexico,0,0,0,0,0,0,1,81.582,81.2,1.0
218,Ayapathu,Critically Endangered,6,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
219,Ayerreyenge,Dormant,0,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
220,Ayi,Endangered,430,Papua New Guinea,0,0,1,0,0,0,1,13.723,24.1,1.0
221,Ayoquezco,Endangered,880,Mexico,0,0,0,0,0,0,1,81.582,81.2,1.0
222,Ayu,Severely Endangered,200,Nigeria,0,2,0,0,0,0,1,54.283,39.2,1.0
223,Baale,Threatened,9000,Sudan;Ethiopia,0,0,0,0,0,0,2,36.342,26.4,4.0
224,Baan,Threatened,5000,Nigeria,0,0,0,0,0,0,1,54.283,39.2,1.0
225,Baba Malay,Critically Endangered,2000,Malaysia;Singapore,0,0,0,0,0,0,2,100.0,97.7,1.0
226,Babalia Creole Arabic,Threatened,3940,Chad,0,0,0,0,0,0,1,24.366,13.2,1.0
227,Babanki,Endangered,20000,Cameroon,0,0,0,0,0,0,1,59.315,41.9,1.0
228,Bade,At risk,250000,Nigeria,0,0,0,0,0,0,1,54.283,39.2,1.0
229,Bädi Kanum,Severely Endangered,10,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
230,Badimaya,Dormant,0,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
231,Badjiri,Critically Endangered,2,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
232,Badugu,Threatened,134000,India,0,0,0,0,0,0,1,36.364,55.9,2.0
233,Badyara,Vulnerable,12000,Senegal;Guinea;Guinea-Bissau,0,0,0,0,0,0,3,49.579,60.6,1.0
234,Baga Binari,Threatened,3000,Guinea,0,0,0,0,0,0,1,38.085,26.5,1.0
235,Baga Koga,Threatened,5000,Guinea,0,0,0,0,0,0,1,38.085,26.5,1.0
236,Baga Manduri,Threatened,4000,Guinea,0,0,0,0,0,0,1,38.085,26.5,1.0
237,Baga Mboteni,Threatened,4900,Guinea,0,0,0,0,0,0,1,38.085,26.5,1.0
238,Baga Sitemu,Threatened,4000,Guinea,0,0,0,0,0,0,1,38.085,26.5,1.0
239,Baghati,Threatened,4000,India,0,0,0,0,0,0,1,36.364,55.9,2.0
240,Bago-Kusuntu,Threatened,7500,Togo,0,0,0,0,0,0,1,44.49,37.0,1.0
241,Bagupi,Endangered,58,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
242,Bagvalal,Threatened,6000,Russian Federation,0,0,0,0,0,0,1,75.331,92.2,1.0
243,Bahinemo,Vulnerable,700,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
244,Bahonsuai,Endangered,180,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
245,Bai,Threatened,2500,South Sudan,0,1,0,1,1,1,1,21.195,9.27,4.0
246,Baibai,Endangered,271,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
247,Baicoca-Siecoca,Threatened,1174,Peru;Colombia;Ecuador,0,0,0,0,0,0,3,82.354,79.5,1.0
248,Baikeno,Vulnerable,20000,Timor-Leste,0,0,0,0,0,0,1,32.456,34.0,1.0
249,Baima,Threatened,10000,China,0,0,0,0,0,0,1,64.57,77.5,1.0
250,Bainouk-Gunyaamolo,Threatened,6000,Senegal;Gambia,0,0,0,0,0,0,2,49.579,60.6,1.0
251,Bainouk-Samik,Threatened,1850,Senegal,0,0,0,0,0,0,1,49.579,60.6,1.0
252,Baïnounk Gubëeher,Threatened,1100,Senegal,0,0,0,0,0,0,1,49.579,60.6,1.0
253,Bajelani,Vulnerable,20000,"Iran, Islamic Rep.;Iraq",0,0,0,0,0,0,2,77.257,81.7,1.0
254,"Baka (East Region, Cameroon)",Vulnerable,50000,Gabon;Cameroon,0,0,0,0,0,0,2,91.029,71.9,1.0
255,"Baka (Far North Region, Cameroon)",Severely Endangered,140,Cameroon,0,0,0,0,0,0,1,59.315,41.9,1.0
256,Bakairí,Endangered,900,Brazil,0,0,0,0,0,0,1,87.788,84.2,1.0
257,Baki,Endangered,150,Vanuatu,0,0,0,0,0,0,1,25.976,45.7,1.0
258,Bakole,Endangered,300,Cameroon,0,0,0,0,0,0,1,59.315,41.9,1.0
259,Bakpinka,Threatened,3416,Nigeria,0,0,0,0,0,0,1,54.283,39.2,1.0
260,Balaesang,Threatened,3200,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
261,Baldemu,Critically Endangered,3,Cameroon,0,0,0,0,0,0,1,59.315,41.9,1.0
262,Bali,Threatened,1000,Nigeria,0,0,0,0,0,0,1,54.283,39.2,1.0
263,Balkan Gagauz Turkish,Threatened,331000,Turkey;Bulgaria;Macedonia,0,0,0,0,0,0,3,76.701,80.4,1.0
264,Balkan Romani,At risk,611800,"Turkey;Germany;Russian Federation;Ukraine;Bulgaria;Romania;Lithuania;France;Iran, Islamic Rep.;Italy;Greece;Macedonia;Moldova;United Kingdom;Poland;Czech Republic;Netherlands;Switzerland;Finland;Austria;Croatia;Latvia;Slovakia;Hungary;Albania;Belarus;Bosnia and Herzegovina;Slovenia;Serbia;Montenegro",0,0,0,0,0,0,30,93.179,97.3,1.0
265,Balti,At risk,270000,Pakistan;India,0,0,0,0,0,0,2,38.04,55.9,2.0
266,Baltic Romani,Vulnerable,58460,Turkey;Germany;Russian Federation;Ukraine;Bulgaria;Romania;Lithuania;France;Italy;Greece;Macedonia;United Kingdom;Poland;Czech Republic;Netherlands;Switzerland;Finland;Austria;Croatia;Latvia;Slovakia;Hungary;Albania;Belarus;Bosnia and Herzegovina;Slovenia;Serbia;Montenegro,0,0,0,0,0,0,28,93.179,97.3,1.0
267,Ban Khor Sign Language,Endangered,400,Thailand,0,0,0,0,0,0,1,53.608,89.5,1.0
268,Bana,Vulnerable,23000,Cameroon,0,0,1,0,0,0,1,59.315,41.9,1.0
269,Banaro,Threatened,2569,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
270,Banawá,Endangered,100,Brazil,0,0,0,0,0,0,1,87.788,84.2,1.0
271,Bandial,Threatened,7000,Senegal,0,0,0,0,0,0,1,49.579,60.6,1.0
272,Bandjalang,Severely Endangered,3,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
273,Bangandu,Threatened,2700,Cameroon;Congo,0,0,0,0,0,0,2,59.315,41.9,1.0
274,Bangani,Vulnerable,12000,India,0,0,0,0,0,0,1,36.364,55.9,2.0
